,State_name,Congressional_district,Votes_cast_for_congressional_representative ,Citizen_voting_age_population_estimate ,Citizen_voting_age_population_margin_of_error_(MOE) ,Voting_rate_estimate ,Voting_rate_margin_of_error_(MOE) ,Eighteen_to_twenty_nine_year_olds_estimate ,Eighteen_to_twenty_nine_year_olds_margin_of_error_(MOE) ,Eighteen_to_twenty_nine_year_olds_percent_of_total ,Eighteen_to_twenty_nine_year_olds_percent_of_total_margin_of_error_(MOE) ,Thirty_to_forty_four_year_olds_estimate ,Thirty_to_forty_four_year_olds_margin_of_error_(MOE) ,Thirty_to_forty_four_year_olds_percent_of_total ,Thirty_to_forty_four_year_olds_percent_of_total_margin_of_error_(MOE) ,Forty_five_to_sixty_four_year_olds_estimate ,Forty_five_to_sixty_four_year_olds_margin_of_error_(MOE) ,Forty_five_to_sixty_four_year_olds_percent_of_total ,Forty_five_to_sixty_four_year_olds_percent_of_total_margin_of_error_(MOE) ,Sixty_five_and_older_estimate ,Sixty_five_and_older_margin_of_error_(MOE) ,Sixty_five_and_older_percent_of_total ,Sixty_five_and_older_percent_of_total_margin_of_error_(MOE) ,Men_estimate ,Men_margin_of_error_(MOE) ,Men_percent_of_total ,Men_percent_of_total_margin_of_error_(MOE) ,Women_estimate ,Women_margin_of_error_(MOE) ,Women_percent_of_total ,Poverty_universe,Poverty_universe_margin_of_error_(MOE),Below_poverty_level_estimate ,Below_poverty_level_margin_of_error_(MOE) ,Below_poverty_level_percent_of_total ,Below_poverty_level_percent_of_total_margin_of_error_(MOE) ,Less_than_9th_grade_estimate ,Less_than_9th_grade_margin_of_error_(MOE) ,Less_than_9th_grade_percent_of_total ,Less_than_9th_grade_percent_of_total_margin_of_error_(MOE) ,9th_to_12_Grade_no_diploma_estimate ,9th_to_12_Grade_no_diploma_margin_of_error_(MOE) ,9th_to_12_Grade_no_diploma_percent_of_total ,9th_to_12_Grade_no_diploma_percent_of_total_margin_of_error_(MOE) ,High_school_graduate_estimate ,High_school_graduate_margin_of_error_(MOE) ,High_school_graduate_percent_of_total ,High_school_graduate_percent_of_total_margin_of_error_(MOE) ,Some_college_no_degree_estimate ,Some_college_no_degree_margin_of_error_(MOE) ,Some_college_no_degree_percent_of_total ,Some_college_no_degree_percent_of_total_margin_of_error_(MOE) ,Associate_degree_estimate ,Associate_degree_margin_of_error_(MOE) ,Associate_degree_percent_of_total ,Associate_degree_percent_of_total_margin_of_error_(MOE) ,Bachelor_degree_estimate ,Bachelor_degree_margin_of_error_(MOE) ,Bachelor_degree_percent_of_total ,Bachelor_degree_percent_of_total_margin_of_error_(MOE) ,Graduate_degree_estimate ,Graduate_degree_margin_of_error_(MOE) ,Graduate_degree_percent_of_total ,Graduate_degree_percent_of_total_margin_of_error_(MOE) ,High_school_or_more_estimate ,High_school_or_more_margin_of_error_(MOE) ,High_school_or_more_percent_of_total ,High_school_or_more_percent_of_total_margin_of_error_(MOE) ,Bachelor_degree_or_more_estimate ,Bachelor_degree_or_more_margin_of_error_(MOE) ,Bachelor_degree_or_more_percent_of_total ,Bachelor_degree_or_more_percent_of_total_margin_of_error_(MOE) ,White_estimate ,White_margin_of_error_(MOE) ,White_percent_of_total ,White_percent_of_total_margin_of_error_(MOE) ,Black_estimate ,Black_margin_of_error_(MOE) ,Black_percent_of_total ,Black_percent_of_total_margin_of_error_(MOE) ,Asian_estimate ,Asian_margin_of_error (MOE) ,Asian_percent_of_total ,Asian_percent_of_total_margin_of_error_(MOE) ,American_Indian_estimate ,Some_other_race_estimate ,Some_other_race_margin_of_error_(MOE) ,Some_other_race_percent_of_total ,Some_other_race_percent_of_total_margin_of_error_(MOE) ,Two_or_more_races_estimate ,Two_or_more_races_margin_of_error_(MOE) ,Two_or_more_races_percent_of_total ,Two_or_more_races_percent_of_total_margin_of_error_(MOE) ,Hispanic_estimate ,Hispanic_margin_of_error_(MOE) ,Hispanic_percent_of_total ,Hispanic_percent_of_total_margin_of_error_(MOE) ,White_non_Hispanic_estimate ,White_non_Hispanic_margin_of_error_(MOE) ,White_non_Hispanic_percent_of_total ,White_non_Hispanic_percent_of_total_margin_of_error_(MOE) 
299,Ohio,1,300871,541695,5990,55.5,0.6,115385,3979,21.3,0.6,127214,3380,23.5,0.6,188655,4034,34.8,0.6,110441,2769,20.4,0.5,262456,4675,48.5,0.6,279239,4175,51.5,522774,6243,61323,4170,11.7,0.8,12480,2295,2.3,0.4,37906,3357,7,0.6,159131,6407,29.4,1.2,112921,5559,20.8,1,42517,3675,7.8,0.7,109523,6126,20.2,1.1,67217,3662,12.4,0.7,491309,6550,90.7,0.7,176740,7113,32.6,1.2,408101,5269,75.3,0.7,110142,4545,20.3,0.8,9566,2027,1.8,0.4,0,1488,646,0.3,0.1,11816,4693,2.2,0.9,9240,1716,1.7,0.3,401223,5063,74.1,0.7
300,Ohio,2,289661,557971,6728,51.9,0.6,110038,4562,19.7,0.7,135103,3616,24.2,0.6,193722,3868,34.7,0.6,119108,3401,21.3,0.6,267271,5218,47.9,0.6,290700,4145,52.1,550012,6891,65318,4923,11.9,0.9,12806,1861,2.3,0.3,38836,3207,7,0.6,179331,6748,32.1,1.2,115407,5221,20.7,0.9,42885,3259,7.7,0.6,107448,5569,19.3,1,61258,3919,11,0.7,506329,7709,90.7,0.7,168706,6978,30.2,1.1,491315,6230,88.1,0.7,49326,3853,8.8,0.7,5822,1584,1,0.3,0,0,0,0,0,8794,3876,1.6,0.7,6748,1502,1.2,0.3,486127,6071,87.1,0.7
301,Ohio,3,246677,560963,8952,44,0.7,153956,6174,27.4,0.9,152437,5694,27.2,0.9,173350,4693,30.9,0.8,81220,3125,14.5,0.6,262190,5831,46.7,0.6,298773,5631,53.3,543140,9357,87584,6728,16.1,1.2,12033,1993,2.1,0.3,46819,3810,8.3,0.7,162352,5526,28.9,0.8,149107,7214,26.6,1.3,41456,3854,7.4,0.7,102291,5664,18.2,0.9,46905,4356,8.4,0.8,502111,8458,89.5,0.7,149196,6450,26.6,1.1,340692,6770,60.7,0.9,176124,4877,31.4,0.8,16451,3634,2.9,0.6,0,8231,1756,1.5,0.3,17728,3265,3.2,0.6,20280,2261,3.6,0.4,330269,6143,58.9,0.7
302,Ohio,4,257405,542874,4816,47.4,0.4,107261,2828,19.8,0.4,120580,2875,22.2,0.5,192235,3120,35.4,0.5,122798,2736,22.6,0.5,269636,2954,49.7,0.3,273238,3151,50.3,517764,4921,53877,4187,10.4,0.8,8396,1384,1.5,0.3,40645,2787,7.5,0.5,227241,5621,41.9,0.9,118829,5132,21.9,0.9,54698,3153,10.1,0.6,61147,3424,11.3,0.6,31918,2505,5.9,0.5,493833,5356,91,0.6,93065,4105,17.1,0.8,497072,4849,91.6,0.3,29506,3521,5.4,0.6,3577,1036,0.7,0.2,0,0,0,0,0,7578,3019,1.4,0.6,17159,1504,3.2,0.3,484081,4857,89.2,0.4
303,Ohio,5,283617,549171,4850,51.6,0.5,108332,2648,19.7,0.4,120658,2951,22,0.5,190308,3173,34.7,0.5,129873,2666,23.6,0.4,265489,3309,48.3,0.3,283682,2727,51.7,533728,5196,49753,3496,9.3,0.7,8179,1438,1.5,0.3,33024,2841,6,0.5,194792,6011,35.5,1.1,126171,4842,23,0.8,49952,3280,9.1,0.6,85505,4879,15.6,0.9,51548,3251,9.4,0.6,507968,5532,92.5,0.6,137053,6038,25,1.1,510516,4616,93,0.6,16042,3087,2.9,0.6,4916,1041,0.9,0.2,0,7476,1643,1.4,0.3,9328,3325,1.7,0.6,22718,1401,4.1,0.3,497742,4398,90.6,0.5
304,Ohio,6,249490,545803,4800,45.7,0.4,92786,2568,17,0.4,115894,2521,21.2,0.4,198331,3334,36.3,0.5,138792,2677,25.4,0.5,271382,2846,49.7,0.3,274421,3226,50.3,526363,4910,78256,5421,14.9,1,15035,2105,2.8,0.4,45891,3317,8.4,0.6,243105,6676,44.5,1.2,104787,5487,19.2,1,50815,3000,9.3,0.6,55394,3936,10.1,0.7,30776,2649,5.6,0.5,484877,5508,88.8,0.7,86170,4434,15.8,0.8,522541,4922,95.7,0.3,11949,2567,2.2,0.5,0,0,0,0,0,0,0,0,0,6885,2584,1.3,0.5,4139,765,0.8,0.1,519628,4897,95.2,0.3
305,Ohio,7,260653,557024,7057,46.8,0.6,102049,3626,18.3,0.6,127143,4087,22.8,0.7,193475,4259,34.7,0.6,134357,3771,24.1,0.6,267916,3924,48.1,0.4,289108,4405,51.9,544781,7134,55197,4619,10.1,0.8,25543,2996,4.6,0.5,40928,3478,7.3,0.6,216413,5898,38.9,1,118866,4667,21.3,0.8,45198,3326,8.1,0.6,70596,4435,12.7,0.8,39480,3036,7.1,0.5,490553,7516,88.1,0.8,110076,4933,19.8,0.9,524020,6957,94.1,0.4,19576,3354,3.5,0.6,2541,1040,0.5,0.2,0,0,0,0,0,8307,3871,1.5,0.7,7516,1518,1.3,0.3,517963,6852,93,0.5
306,Ohio,8,261133,546406,2927,47.8,0.3,112205,1845,20.5,0.3,122391,1837,22.4,0.3,189359,1629,34.7,0.3,122451,1042,22.4,0.2,263947,2017,48.3,0.2,282459,1832,51.7,532437,3308,53264,4018,10,0.8,11657,2008,2.1,0.4,39929,2778,7.3,0.5,194706,5738,35.6,1,129108,5371,23.6,1,46735,3376,8.6,0.6,83985,5029,15.4,0.9,40286,3500,7.4,0.6,494820,4337,90.6,0.6,124271,6173,22.7,1.1,495127,2069,90.6,0.3,31555,1843,5.8,0.3,7559,999,1.4,0.2,0,2046,871,0.4,0.2,9717,3630,1.8,0.7,9288,1695,1.7,0.3,488253,1753,89.4,0.4
307,Ohio,9,231937,545749,8394,42.5,0.7,124360,4339,22.8,0.7,125503,5120,23,0.8,185628,5224,34,0.9,110258,3868,20.2,0.6,263532,5216,48.3,0.6,282217,5460,51.7,534835,8753,89928,4942,16.8,0.9,15058,2385,2.8,0.4,48500,3859,8.9,0.7,179845,6296,33,1.1,139469,6135,25.6,1,46334,3250,8.5,0.6,76917,4689,14.1,0.8,39626,2651,7.3,0.5,482191,8507,88.4,0.8,116543,5185,21.4,0.9,429379,8536,78.7,0.9,80260,4460,14.7,0.8,6204,1695,1.1,0.3,0,11416,1824,2.1,0.3,15979,2545,2.9,0.5,52906,2742,9.7,0.5,396171,8802,72.6,0.9
308,Ohio,10,281726,552514,2402,51,0.2,119030,1391,21.5,0.2,123728,1547,22.4,0.2,182094,1592,33,0.3,127662,1059,23.1,0.2,263435,1576,47.7,0.2,289079,1630,52.3,526770,3839,71539,4635,13.6,0.9,9937,1573,1.8,0.3,38545,3491,7,0.6,153389,4861,27.8,0.9,146059,5982,26.4,1.1,49346,3097,8.9,0.6,89308,4309,16.2,0.8,65930,3713,11.9,0.7,504032,3981,91.2,0.7,155238,4348,28.1,0.8,439582,1803,79.6,0.3,87640,2297,15.9,0.4,8761,933,1.6,0.2,0,0,0,0,0,13259,4079,2.4,0.7,10696,1042,1.9,0.2,431513,1280,78.1,0.3
309,Ohio,11,250660,524803,8831,47.8,0.8,115904,4267,22.1,0.6,112868,3951,21.5,0.6,177785,4375,33.9,0.7,118246,3071,22.5,0.6,238090,5160,45.4,0.6,286713,5597,54.6,507302,8615,107065,6607,21.1,1.2,15282,1992,2.9,0.4,54749,4104,10.4,0.7,151651,5381,28.9,0.9,124933,6358,23.8,1.1,39417,3555,7.5,0.7,82102,4154,15.6,0.7,56669,3742,10.8,0.7,454772,8242,86.7,0.8,138771,4952,26.4,0.8,226407,7743,43.1,1,269913,5003,51.4,1,8086,1441,1.5,0.3,0,5232,2364,1,0.4,13329,2231,2.5,0.4,17237,2009,3.3,0.4,216076,7476,41.2,1
310,Ohio,12,341647,585940,7173,58.3,0.7,116111,4528,19.8,0.7,143636,4189,24.5,0.7,203572,4271,34.7,0.6,122621,3354,20.9,0.6,290618,4182,49.6,0.5,295322,4746,50.4,569339,7359,49050,4566,8.6,0.8,9882,1807,1.7,0.3,28982,2923,4.9,0.5,161706,6767,27.6,1,121457,5783,20.7,1,39600,3412,6.8,0.6,145735,5222,24.9,0.8,78578,4399,13.4,0.7,547076,7993,93.4,0.6,224313,7002,38.3,1.1,528755,6818,90.2,0.6,28752,2281,4.9,0.4,13546,2332,2.3,0.4,0,0,0,0,0,11981,1958,2,0.3,11415,1766,1.9,0.3,520414,6908,88.8,0.6
311,Ohio,13,251370,559931,7719,44.9,0.6,121208,4566,21.6,0.7,118910,3752,21.2,0.6,188243,4932,33.6,0.8,131570,3473,23.5,0.6,268927,5171,48,0.5,291004,4553,52,541535,8375,80108,5390,14.8,0.9,12042,2021,2.2,0.4,42021,4036,7.5,0.7,202284,5734,36.1,1,143217,6544,25.6,1.1,39416,3243,7,0.6,78664,4442,14,0.8,42287,3088,7.6,0.5,505868,7327,90.3,0.8,120951,5359,21.6,0.9,477923,6763,85.4,0.5,60746,3066,10.8,0.5,6651,1576,1.2,0.3,0,0,0,0,0,10148,3660,1.8,0.7,0,0,0,0,465719,6201,83.2,0.5
312,Ohio,14,307358,553668,6479,55.5,0.6,91212,3779,16.5,0.6,116235,3653,21,0.7,202802,4720,36.6,0.7,143419,3448,25.9,0.6,266077,4672,48.1,0.5,287591,3580,51.9,544116,6583,36742,3973,6.8,0.7,16280,2360,2.9,0.4,28544,2712,5.2,0.5,163375,6481,29.5,1.1,109869,4805,19.8,0.8,43396,3069,7.8,0.6,121554,4671,22,0.8,70650,3457,12.8,0.6,508844,7748,91.9,0.7,192204,6047,34.7,1,510204,5955,92.1,0.6,26638,3949,4.8,0.7,8399,1739,1.5,0.3,0,1973,942,0.4,0.2,6981,1527,1.3,0.3,11531,1638,2.1,0.3,500765,5935,90.4,0.7
313,Ohio,15,292443,586092,6358,49.9,0.5,122586,3245,20.9,0.5,148238,3768,25.3,0.6,195592,4772,33.4,0.7,119676,3149,20.4,0.5,292487,4276,49.9,0.5,293605,4537,50.1,556465,6391,61556,5446,11.1,1,10635,1639,1.8,0.3,40687,3737,6.9,0.6,190377,6016,32.5,1,126001,6703,21.5,1.1,42927,3096,7.3,0.5,110222,5906,18.8,1,65243,4093,11.1,0.7,534770,6524,91.2,0.7,175465,7224,29.9,1.2,534595,6068,91.2,0.6,27259,3079,4.7,0.5,10215,2086,1.7,0.4,0,0,0,0,0,11631,3408,2,0.6,8845,1541,1.5,0.3,528345,6079,90.1,0.6
314,Ohio,16,299710,553316,8332,54.2,0.8,94003,4015,17,0.6,119356,4694,21.6,0.8,195092,5120,35.3,0.8,144865,4533,26.2,0.7,269087,5634,48.6,0.6,284229,4688,51.4,543064,8165,33622,3327,6.2,0.6,10777,1556,1.9,0.3,22848,1937,4.1,0.3,164323,6508,29.7,1.1,123950,6797,22.4,1.1,48612,3407,8.8,0.6,117209,4514,21.2,0.8,65597,3518,11.9,0.7,519691,8260,93.9,0.4,182806,5414,33,1,518260,7758,93.7,0.6,17301,4516,3.1,0.8,8248,1489,1.5,0.3,0,1542,967,0.3,0.2,7381,3537,1.3,0.6,9945,1511,1.8,0.3,510246,7663,92.2,0.6
